index,URI,Title,Artist,Album,Popularity
114,spotify:track:3X7abqSXC4xrxuC1ykpWcY,Livin' On A Prayer,Bon Jovi,Bon Jovi Greatest Hits,0
115,spotify:track:2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),80
116,spotify:track:5e3l460eVGMNqQgFc9Rv7q,September,"Earth, Wind & Fire","The Essential Earth, Wind & Fire",0
117,spotify:track:66AiuTr5v9tw6B8gXau2aU,Ice Ice Baby,Vanilla Ice,Platinum Underground,29
118,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World,Is There Anybody Out There?,70
119,spotify:track:2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,Rascal Flatts,Me And My Gang,70
120,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,79
121,spotify:track:43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,American Fool,69
122,spotify:track:7woZGXjtaYwuvSoU1zToB3,Free Fallin',Tom Petty,Full Moon Fever,0
123,spotify:track:4rsW3WCZBGwhHfJWuHRwyT,Home,Phillip Phillips,The World From The Side Of The Moon (Deluxe),31
124,spotify:track:4dGJf1SER1T6ooX46vwzRB,Chicken Fried,Zac Brown Band,The Foundation,1
125,spotify:track:0kN3oXYWWAk1uC0y2WoyOE,Love Story,Taylor Swift,Fearless Platinum Edition,47
126,spotify:track:3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,True Believers,73
127,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,Hunting High and Low,82
128,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Pitbull,Global Warming: Meltdown (Deluxe Version),78
129,spotify:track:4uUwD0uYzIDjKMKQglzmD2,Song of the South,Alabama,Ultimate Alabama 20 # 1 Hits,41
130,spotify:track:4swEkkLocrQ569W1lYIbdX,Dixieland Delight - Single Edit,Alabama,For The Record,0
131,spotify:track:7lJSxSUUlrZ7CxiyO3X0vq,"Hey, Soul Sister",Train,American Heartland,0
132,spotify:track:4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,Raymond v Raymond (Expanded Edition),76
